sku,store_view_code,visibility
WJ01,venia_us,Not Visible Individually
WJ02,venia_us,Not Visible Individually
WJ03,venia_us,Not Visible Individually
WJ04,venia_us,Not Visible Individually
WJ05,venia_us,Not Visible Individually
WJ06,venia_us,Not Visible Individually
WJ07,venia_us,Not Visible Individually
WJ08,venia_us,Not Visible Individually
WJ09,venia_us,Not Visible Individually
WJ10,venia_us,Not Visible Individually
WJ11,venia_us,Not Visible Individually
WJ12,venia_us,Not Visible Individually
WP01,venia_us,Not Visible Individually
WP02,venia_us,Not Visible Individually
WP03,venia_us,Not Visible Individually
WP04,venia_us,Not Visible Individually
WP05,venia_us,Not Visible Individually
WP06,venia_us,Not Visible Individually
WP07,venia_us,Not Visible Individually
WP08,venia_us,Not Visible Individually
WP09,venia_us,Not Visible Individually
WP10,venia_us,Not Visible Individually
WP11,venia_us,Not Visible Individually
WP12,venia_us,Not Visible Individually
WP13,venia_us,Not Visible Individually
WS01,venia_us,Not Visible Individually
WS02,venia_us,Not Visible Individually
WS03,venia_us,Not Visible Individually
WS04,venia_us,Not Visible Individually
WS05,venia_us,Not Visible Individually
WS06,venia_us,Not Visible Individually
WS07,venia_us,Not Visible Individually
WS08,venia_us,Not Visible Individually
WS09,venia_us,Not Visible Individually
WS10,venia_us,Not Visible Individually
WS11,venia_us,Not Visible Individually
WS12,venia_us,Not Visible Individually
WSH01,venia_us,Not Visible Individually
WSH02,venia_us,Not Visible Individually
WSH03,venia_us,Not Visible Individually
WSH04,venia_us,Not Visible Individually
WSH05,venia_us,Not Visible Individually
WSH06,venia_us,Not Visible Individually
WSH07,venia_us,Not Visible Individually
WSH08,venia_us,Not Visible Individually
WSH09,venia_us,Not Visible Individually
WSH10,venia_us,Not Visible Individually
WSH11,venia_us,Not Visible Individually
WSH12,venia_us,Not Visible Individually
WT01,venia_us,Not Visible Individually
WT02,venia_us,Not Visible Individually
WT03,venia_us,Not Visible Individually
WT04,venia_us,Not Visible Individually
WT05,venia_us,Not Visible Individually
WT06,venia_us,Not Visible Individually
WT07,venia_us,Not Visible Individually
WT08,venia_us,Not Visible Individually
WT09,venia_us,Not Visible Individually
